,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
0,2018-01-01,Z305B2QN,ST4000DM000,4000787030016,0,120,2346048,,,91,0,100,10,100,0,89,817398653,,,80,17952,100,0,,,100,10,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,83.0,34046.0,23,23,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,17703.0,100.0,39414155008.0,100.0,52891914613.0,,,,,,,,,,
1,2018-01-01,PL1331LAHG1S4H,HGST HMS5C4040ALE640,4000787030016,0,100,0,134.0,101.0,100,436,100,8,100,0,100,0,113.0,42.0,99,8026,100,0,,,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,89.0,100.0,89.0,206,29,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018-01-01,ZA16NQJR,ST8000NM0055,8001563222016,0,81,119386608,,,94,0,100,5,100,0,91,1217183151,,,94,5900,100,0,,,100,5,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,59.0,41.0,98.0,4047.0,100.0,13.0,99.0,2553.0,41,41,81.0,119386608.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,5884.0,100.0,32916262208.0,100.0,46357506520.0,,,,,,,,,,
3,2018-01-01,ZA18CEBT,ST8000NM0055,8001563222016,0,83,194649096,,,96,0,100,3,100,0,87,508407395,,,97,2888,100,0,,,100,3,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,55.0,45.0,94.0,13626.0,100.0,2.0,100.0,773.0,45,45,83.0,194649096.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,2871.0,100.0,24447357280.0,100.0,29148281692.0,,,,,,,,,,
4,2018-01-01,ZA18CEBS,ST8000NM0055,8001563222016,0,83,187404648,,,97,0,100,2,100,0,87,517225235,,,97,2875,100,0,,,100,2,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,58.0,42.0,98.0,5258.0,100.0,3.0,100.0,960.0,42,42,83.0,187404648.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,2855.0,100.0,24511648120.0,100.0,29110044098.0,,,,,,,,,,
5,2018-01-01,Z305DEMG,ST4000DM000,4000787030016,0,116,115775056,,,97,0,100,3,100,0,88,677474787,,,82,16254,100,0,,,100,3,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,74.0,52046.0,26,26,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,15911.0,100.0,33311676160.0,100.0,62573955123.0,,,,,,,,,,
6,2018-01-01,ZA130TTW,ST8000DM002,8001563222016,0,83,208321736,,,96,0,100,2,100,0,94,2339431857,,,88,11003,100,0,,,100,2,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,83.0,34251.0,100.0,0.0,98.0,5217.0,26,26,1.0,208321736.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,10971.0,100.0,44515318240.0,100.0,53798865600.0,,,,,,,,,,
7,2018-01-01,ZA18CEBF,ST8000NM0055,8001563222016,0,75,28705872,,,98,0,100,2,100,0,87,494352845,,,97,2888,100,0,,,100,2,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,99.0,2206.0,100.0,5.0,100.0,901.0,36,36,75.0,28705872.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100.0,2869.0,100.0,24387139296.0,100.0,28967095922.0,,,,,,,,,,
8,2018-01-01,PL2331LAG9TEEJ,HGST HMS5C4040ALE640,4000787030016,0,100,0,135.0,98.0,100,449,100,11,100,0,100,0,113.0,42.0,99,8023,100,0,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,19.0,100.0,19.0,206,29,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018-01-01,PL2331LAH3WYAJ,HGST HMS5C4040BLE640,4000787030016,0,100,0,133.0,105.0,100,0,100,3,100,0,100,0,113.0,42.0,99,7665,100,0,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,18.0,100.0,18.0,206,29,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
